payment_id,booking_id,transaction_id,amount,payment_method,payment_status,paid_at
PAY-2026-000001,BOOK-2026-000001,TXN-2026-00000001,600.00,UPI,SUCCESS,"2026-08-20 10:25:00"
PAY-2026-000002,BOOK-2026-000002,TXN-2026-00000002,400.00,CARD,SUCCESS,"2026-08-20 11:30:00"
PAY-2026-000003,BOOK-2026-000003,TXN-2026-00000003,450.00,NET_BANKING,SUCCESS,"2026-08-20 12:20:00"
PAY-2026-000004,BOOK-2026-000004,TXN-2026-00000004,900.00,WALLET,SUCCESS,"2026-08-20 13:15:00"
PAY-2026-000005,BOOK-2026-000005,TXN-2026-00000005,400.00,UPI,SUCCESS,"2026-08-20 14:10:00"
PAY-2026-000006,BOOK-2026-000006,TXN-2026-00000006,900.00,CARD,SUCCESS,"2026-08-20 15:20:00"
PAY-2026-000007,BOOK-2026-000007,TXN-2026-00000007,300.00,NET_BANKING,SUCCESS,"2026-08-21 09:40:00"
PAY-2026-000008,BOOK-2026-000008,TXN-2026-00000008,800.00,WALLET,SUCCESS,"2026-08-21 10:55:00"
PAY-2026-000009,BOOK-2026-000009,TXN-2026-00000009,450.00,UPI,SUCCESS,"2026-08-21 12:00:00"
PAY-2026-000010,BOOK-2026-000010,TXN-2026-00000010,600.00,CARD,REFUNDED,"2026-08-21 13:05:00"
PAY-2026-000011,BOOK-2026-000011,TXN-2026-00000011,900.00,NET_BANKING,SUCCESS,"2026-08-21 13:30:00"
PAY-2026-000012,BOOK-2026-000012,TXN-2026-00000012,400.00,WALLET,SUCCESS,"2026-08-21 14:15:00"
PAY-2026-000013,BOOK-2026-000013,TXN-2026-00000013,900.00,UPI,SUCCESS,"2026-08-21 15:25:00"
PAY-2026-000014,BOOK-2026-000014,TXN-2026-00000014,200.00,CARD,SUCCESS,"2026-08-22 09:20:00"
PAY-2026-000015,BOOK-2026-000015,TXN-2026-00000015,450.00,NET_BANKING,REFUNDED,"2026-08-22 10:55:00"
PAY-2026-000016,BOOK-2026-000016,TXN-2026-00000016,600.00,WALLET,SUCCESS,"2026-08-22 11:50:00"
PAY-2026-000017,BOOK-2026-000017,TXN-2026-00000017,600.00,UPI,SUCCESS,"2026-08-22 13:00:00"
PAY-2026-000018,BOOK-2026-000018,TXN-2026-00000018,900.00,CARD,SUCCESS,"2026-08-22 13:45:00"
PAY-2026-000019,BOOK-2026-000019,TXN-2026-00000019,300.00,NET_BANKING,SUCCESS,"2026-08-22 14:55:00"
PAY-2026-000020,BOOK-2026-000020,TXN-2026-00000020,400.00,WALLET,REFUNDED,"2026-08-22 16:00:00"
PAY-2026-000021,BOOK-2026-000021,TXN-2026-00000021,600.00,UPI,SUCCESS,"2026-08-23 09:30:00"
PAY-2026-000022,BOOK-2026-000022,TXN-2026-00000022,450.00,CARD,SUCCESS,"2026-08-23 10:25:00"
PAY-2026-000023,BOOK-2026-000023,TXN-2026-00000023,400.00,NET_BANKING,SUCCESS,"2026-08-23 11:35:00"
PAY-2026-000024,BOOK-2026-000024,TXN-2026-00000024,900.00,WALLET,SUCCESS,"2026-08-23 12:15:00"
PAY-2026-000025,BOOK-2026-000025,TXN-2026-00000025,900.00,UPI,SUCCESS,"2026-08-23 13:20:00"
PAY-2026-000026,BOOK-2026-000026,TXN-2026-00000026,200.00,CARD,SUCCESS,"2026-08-23 14:30:00"
PAY-2026-000027,BOOK-2026-000027,TXN-2026-00000027,600.00,NET_BANKING,REFUNDED,"2026-08-23 16:10:00"
PAY-2026-000028,BOOK-2026-000028,TXN-2026-00000028,600.00,WALLET,SUCCESS,"2026-08-24 09:25:00"
PAY-2026-000029,BOOK-2026-000029,TXN-2026-00000029,450.00,UPI,SUCCESS,"2026-08-24 10:40:00"
PAY-2026-000030,BOOK-2026-000030,TXN-2026-00000030,600.00,CARD,SUCCESS,"2026-08-24 11:45:00"
PAY-2026-000031,BOOK-2026-000031,TXN-2026-00000031,450.00,NET_BANKING,SUCCESS,"2026-08-24 12:30:00"
PAY-2026-000032,BOOK-2026-000032,TXN-2026-00000032,600.00,WALLET,SUCCESS,"2026-08-24 13:20:00"
