booking_id,user_id,event_id,ticket_category,quantity,price_per_ticket,total_amount,booking_status,booking_date
BOOK-2026-000001,CUS-2026-000001,EVT-2026-000001,PREMIUM,2,300.00,600.00,CONFIRMED,"2026-08-20 10:15:00"
BOOK-2026-000002,CUS-2026-000002,EVT-2026-000002,REGULAR,2,200.00,400.00,CONFIRMED,"2026-08-20 11:20:00"
BOOK-2026-000003,CUS-2026-000003,EVT-2026-000003,VIP,1,450.00,450.00,CONFIRMED,"2026-08-20 12:10:00"
BOOK-2026-000004,CUS-2026-000004,EVT-2026-000004,PREMIUM,3,300.00,900.00,CONFIRMED,"2026-08-20 13:05:00"
BOOK-2026-000005,CUS-2026-000005,EVT-2026-000005,REGULAR,2,200.00,400.00,CONFIRMED,"2026-08-20 14:00:00"
BOOK-2026-000006,CUS-2026-000006,EVT-2026-000006,VIP,2,450.00,900.00,CONFIRMED,"2026-08-20 15:10:00"
BOOK-2026-000007,CUS-2026-000007,EVT-2026-000007,PREMIUM,1,300.00,300.00,CONFIRMED,"2026-08-21 09:30:00"
BOOK-2026-000008,CUS-2026-000008,EVT-2026-000008,REGULAR,4,200.00,800.00,CONFIRMED,"2026-08-21 10:45:00"
BOOK-2026-000009,CUS-2026-000009,EVT-2026-000009,VIP,1,450.00,450.00,CONFIRMED,"2026-08-21 11:50:00"
BOOK-2026-000010,CUS-2026-000010,EVT-2026-000010,PREMIUM,2,300.00,600.00,CANCELLED,"2026-08-21 12:35:00"
BOOK-2026-000011,CUS-2026-000011,EVT-2026-000011,VIP,2,450.00,900.00,CONFIRMED,"2026-08-21 13:20:00"
BOOK-2026-000012,CUS-2026-000012,EVT-2026-000012,REGULAR,2,200.00,400.00,CONFIRMED,"2026-08-21 14:05:00"
BOOK-2026-000013,CUS-2026-000013,EVT-2026-000013,PREMIUM,3,300.00,900.00,CONFIRMED,"2026-08-21 15:15:00"
BOOK-2026-000014,CUS-2026-000014,EVT-2026-000014,REGULAR,1,200.00,200.00,CONFIRMED,"2026-08-22 09:10:00"
BOOK-2026-000015,CUS-2026-000015,EVT-2026-000015,VIP,1,450.00,450.00,CANCELLED,"2026-08-22 10:25:00"
BOOK-2026-000016,CUS-2026-000016,EVT-2026-000016,PREMIUM,2,300.00,600.00,CONFIRMED,"2026-08-22 11:40:00"
BOOK-2026-000017,CUS-2026-000017,EVT-2026-000017,REGULAR,3,200.00,600.00,CONFIRMED,"2026-08-22 12:50:00"
BOOK-2026-000018,CUS-2026-000018,EVT-2026-000018,VIP,2,450.00,900.00,CONFIRMED,"2026-08-22 13:35:00"
BOOK-2026-000019,CUS-2026-000019,EVT-2026-000019,PREMIUM,1,300.00,300.00,CONFIRMED,"2026-08-22 14:45:00"
BOOK-2026-000020,CUS-2026-000020,EVT-2026-000020,REGULAR,2,200.00,400.00,CANCELLED,"2026-08-22 15:30:00"
BOOK-2026-000021,CUS-2026-000021,EVT-2026-000021,PREMIUM,2,300.00,600.00,CONFIRMED,"2026-08-23 09:20:00"
BOOK-2026-000022,CUS-2026-000022,EVT-2026-000022,VIP,1,450.00,450.00,CONFIRMED,"2026-08-23 10:15:00"
BOOK-2026-000023,CUS-2026-000023,EVT-2026-000023,REGULAR,2,200.00,400.00,CONFIRMED,"2026-08-23 11:25:00"
BOOK-2026-000024,CUS-2026-000024,EVT-2026-000024,PREMIUM,3,300.00,900.00,CONFIRMED,"2026-08-23 12:05:00"
BOOK-2026-000025,CUS-2026-000025,EVT-2026-000025,VIP,2,450.00,900.00,CONFIRMED,"2026-08-23 13:10:00"
BOOK-2026-000026,CUS-2026-000026,EVT-2026-000026,REGULAR,1,200.00,200.00,CONFIRMED,"2026-08-23 14:20:00"
BOOK-2026-000027,CUS-2026-000027,EVT-2026-000027,PREMIUM,2,300.00,600.00,CANCELLED,"2026-08-23 15:40:00"
BOOK-2026-000028,CUS-2026-000028,EVT-2026-000028,REGULAR,3,200.00,600.00,CONFIRMED,"2026-08-24 09:15:00"
BOOK-2026-000029,CUS-2026-000029,EVT-2026-000029,VIP,1,450.00,450.00,CONFIRMED,"2026-08-24 10:30:00"
BOOK-2026-000030,CUS-2026-000030,EVT-2026-000030,PREMIUM,2,300.00,600.00,CONFIRMED,"2026-08-24 11:35:00"
BOOK-2026-000031,CUS-2026-000001,EVT-2026-000016,VIP,1,450.00,450.00,CONFIRMED,"2026-08-24 12:20:00"
BOOK-2026-000032,CUS-2026-000002,EVT-2026-000011,PREMIUM,2,300.00,600.00,CONFIRMED,"2026-08-24 13:10:00"
BOOK-2026-000033,CUS-2026-000003,EVT-2026-000001,REGULAR,3,200.00,600.00,CONFIRMED,"2026-08-24 14:05:00"
BOOK-2026-000034,CUS-2026-000004,EVT-2026-000007,VIP,2,450.00,900.00,CONFIRMED,"2026-08-24 15:15:00"
BOOK-2026-000035,CUS-2026-000005,EVT-2026-000021,PREMIUM,1,300.00,300.00,CONFIRMED,"2026-08-25 09:25:00"
BOOK-2026-000036,CUS-2026-000006,EVT-2026-000017,REGULAR,2,200.00,400.00,CANCELLED,"2026-08-25 10:30:00"
BOOK-2026-000037,CUS-2026-000007,EVT-2026-000013,VIP,1,450.00,450.00,CONFIRMED,"2026-08-25 11:40:00"
BOOK-2026-000038,CUS-2026-000008,EVT-2026-000003,PREMIUM,2,300.00,600.00,CONFIRMED,"2026-08-25 12:45:00"
BOOK-2026-000039,CUS-2026-000009,EVT-2026-000018,REGULAR,2,200.00,400.00,CONFIRMED,"2026-08-25 13:30:00"
BOOK-2026-000040,CUS-2026-000010,EVT-2026-000022,VIP,2,450.00,900.00,CONFIRMED,"2026-08-25 14:40:00"
BOOK-2026-000041,CUS-2026-000011,EVT-2026-000005,REGULAR,1,200.00,200.00,CONFIRMED,"2026-08-26 09:15:00"
BOOK-2026-000042,CUS-2026-000012,EVT-2026-000009,PREMIUM,2,300.00,600.00,CONFIRMED,"2026-08-26 10:20:00"
BOOK-2026-000043,CUS-2026-000013,EVT-2026-000015,VIP,1,450.00,450.00,CONFIRMED,"2026-08-26 11:25:00"
BOOK-2026-000044,CUS-2026-000014,EVT-2026-000019,REGULAR,3,200.00,600.00,CONFIRMED,"2026-08-26 12:35:00"
BOOK-2026-000045,CUS-2026-000015,EVT-2026-000023,PREMIUM,2,300.00,600.00,CONFIRMED,"2026-08-26 13:40:00"
BOOK-2026-000046,CUS-2026-000016,EVT-2026-000027,VIP,1,450.00,450.00,CANCELLED,"2026-08-26 14:50:00"
BOOK-2026-000047,CUS-2026-000017,EVT-2026-000029,REGULAR,2,200.00,400.00,CONFIRMED,"2026-08-27 09:30:00"
BOOK-2026-000048,CUS-2026-000018,EVT-2026-000002,PREMIUM,3,300.00,900.00,CONFIRMED,"2026-08-27 10:40:00"
BOOK-2026-000049,CUS-2026-000019,EVT-2026-000010,VIP,1,450.00,450.00,CONFIRMED,"2026-08-27 11:50:00"
BOOK-2026-000050,CUS-2026-000020,EVT-2026-000014,REGULAR,2,200.00,400.00,CONFIRMED,"2026-08-27 13:00:00"
