organizer_id,organization_name,contact_person,email,phone,registration_number,organization_type,address,city,state,verification_status,verification_document,verification_date,verified_by,created_at
ORG-2026-000001,"Skyline Events Pvt Ltd","Ravi Kumar",skyline.events@gmail.com,9200000001,ORGREG-1001,"Event Management",Madhapur,Hyderabad,Telangana,APPROVED,"Business Registration Certificate","2026-08-20 10:30:00",VER-2026-000001,"2026-09-08 12:43:05"
ORG-2026-000002,"DreamScreen Entertainment","Sneha Varma",dreamscreen@gmail.com,9200000002,ORGREG-1002,"Entertainment Company","Banjara Hills",Hyderabad,Telangana,APPROVED,"GST Registration Certificate","2026-08-20 11:00:00",VER-2026-000002,"2026-09-08 12:43:05"
ORG-2026-000003,"Starline Productions","Arun Reddy",starline@gmail.com,9200000003,ORGREG-1003,"Entertainment Company","Jubilee Hills",Hyderabad,Telangana,APPROVED,"Company Registration Certificate","2026-08-21 09:30:00",VER-2026-000001,"2026-09-08 12:43:05"
ORG-2026-000004,"Royal Sports Events","Kiran Rao",royalsports@gmail.com,9200000004,ORGREG-1004,"Sports Management",Gachibowli,Hyderabad,Telangana,APPROVED,"Sports Event License","2026-08-21 12:00:00",VER-2026-000003,"2026-09-08 12:43:05"
ORG-2026-000005,"LiveWave Concerts","Meera Sharma",livewave@gmail.com,9200000005,ORGREG-1005,"Concert Management",Koramangala,Bengaluru,Karnataka,APPROVED,"Business Registration Certificate","2026-08-22 10:00:00",VER-2026-000002,"2026-09-08 12:43:05"
ORG-2026-000006,"Cultural Canvas","Naveen Kumar",culturalcanvas@gmail.com,9200000006,ORGREG-1006,"Cultural Events","Anna Nagar",Chennai,"Tamil Nadu",PENDING,"Organization Registration Certificate",NULL,NULL,"2026-09-08 12:43:05"
ORG-2026-000007,"PrimeStage Entertainment","Pavan Reddy",primestage@gmail.com,9200000007,ORGREG-1007,"Entertainment Company","Andheri West",Mumbai,Maharashtra,APPROVED,"GST Registration Certificate","2026-08-23 14:00:00",VER-2026-000001,"2026-09-08 12:43:05"
ORG-2026-000008,"Urban Fest India","Rohit Verma",urbanfest@gmail.com,9200000008,ORGREG-1008,"Festival Management","Viman Nagar",Pune,Maharashtra,APPROVED,"Business Registration Certificate","2026-08-24 11:30:00",VER-2026-000003,"2026-09-08 12:43:05"
ORG-2026-000009,"NextGen Events","Akhil Rao",nextgen.events@gmail.com,9200000009,ORGREG-1009,"Event Management","Sector 17",Chandigarh,Chandigarh,PENDING,"Organization Registration Certificate",NULL,NULL,"2026-09-08 12:43:05"
ORG-2026-000010,"Elite Arena Management","Sanjay Kumar",elitearena@gmail.com,9200000010,ORGREG-1010,"Sports Management",Mohali,Mohali,Punjab,REJECTED,"Sports Event License","2026-08-24 16:00:00",VER-2026-000002,"2026-09-08 12:43:05"
