event_id,organizer_id,venue_id,event_name,event_type,description,event_date,start_time,end_time,language,status,created_at
EVT-2026-000001,ORG-2026-000001,VEN-2026-000001,"Avatar: The Way of Water",MOVIE,"English science fiction movie",2026-09-05,10:00:00,12:50:00,English,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000002,ORG-2026-000001,VEN-2026-000002,"Pushpa 2",MOVIE,"Telugu action drama movie",2026-09-06,18:00:00,21:00:00,Telugu,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000003,ORG-2026-000002,VEN-2026-000003,"Interstellar Re-Release",MOVIE,"Science fiction movie special screening",2026-09-07,19:00:00,21:50:00,English,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000004,ORG-2026-000002,VEN-2026-000004,"RRR Special Screening",MOVIE,"Telugu action drama special screening",2026-09-08,18:30:00,21:30:00,Telugu,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000005,ORG-2026-000003,VEN-2026-000005,Kantara,MOVIE,"Kannada action drama movie",2026-09-09,19:00:00,21:45:00,Kannada,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000006,ORG-2026-000003,VEN-2026-000015,"The Dark Knight",MOVIE,"Classic action thriller screening",2026-09-10,17:00:00,19:40:00,English,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000007,ORG-2026-000001,VEN-2026-000022,"Dune: Part Two",MOVIE,"Science fiction adventure movie",2026-09-11,18:00:00,20:50:00,English,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000008,ORG-2026-000002,VEN-2026-000030,Leo,MOVIE,"Tamil action thriller movie",2026-09-12,20:00:00,22:40:00,Tamil,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000009,ORG-2026-000003,VEN-2026-000036,Jersey,MOVIE,"Telugu sports drama movie",2026-09-13,18:00:00,20:30:00,Telugu,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000010,ORG-2026-000007,VEN-2026-000027,Oppenheimer,MOVIE,"Historical drama screening",2026-09-14,19:00:00,22:00:00,English,PUBLISHED,"2026-09-08 12:49:42"
